claim_id	source_location	claim_area	original_claim	legacy_evidence	current_evidence	status	replacement_wording
M01	PyFgsea_Bioinformatics_revised.tex:28	title	PyFgsea is described without a version boundary as fgseaMultilevel-aligned.	The publication benchmark is specifically PyFgsea 0.1.4 versus R fgsea 1.32.2 and reproduces the reported main-input concordance.	PyFgsea 0.2.0rc8 was compared separately with R fgsea 1.38.0; this does not retroactively validate the publication against 1.38.0.	update	PyFgsea: A Rust-Powered GSEA Framework with Rolling-Window Enrichment along Single-Cell Trajectories.
M02	PyFgsea_Bioinformatics_revised.tex:40	abstract concordance	Under matched inputs, PyFgsea has NES Pearson r greater than 0.999, machine-precision ES agreement, and statistically faithful nominal p values relative to R fgseaMultilevel.	Publication-main results for 0.1.4 versus 1.32.2 were ES RMSE 3.84e-16; NES Pearson 0.999967, Spearman 0.999676, RMSE 0.01333; and transformed-p Pearson 0.997199, Spearman 0.988318, RMSE 0.16960.	Publication-main results for 0.2.0rc8 versus 1.38.0 were ES RMSE 3.21e-16; NES Pearson 0.999952, Spearman 0.999652, RMSE 0.01567; and transformed-p Pearson 0.999069, Spearman 0.996628, RMSE 0.11826.	qualify	The published PyFgsea 0.1.4 comparison used R fgsea 1.32.2 and reproduced the reported ES, NES, and nominal-p agreement. A separate current comparison of PyFgsea 0.2.0rc8 with fgsea 1.38.0 also showed machine-precision ES agreement and NES Pearson r above 0.999 on the matched publication input; exact p-value agreement metrics are reported rather than an unqualified equivalence claim.
M03	PyFgsea_Bioinformatics_revised.tex:40,135	rolling-window performance	The stateful runner gives about 1.9-fold end-to-end speedup and up to 7.47-fold acceleration in a 100-window component benchmark.	These are historical publication measurements and were not regenerated by the formal dual-lane Figure 1 run.	The current timing table mixes run_gsea call time with R internal and process time and does not constitute a matched rolling-window benchmark.	remove	Remove the 1.9-fold and 7.47-fold values from the corrected abstract and Results. Reintroduce performance numbers only after a matched 0.2.0 benchmark with identical work, process scope, thread count, and memory method.
M04	PyFgsea_Bioinformatics_revised.tex:40,98,136	multiplicity	Rolling-window significance is controlled by Benjamini-Hochberg correction across pathways within each window, not across the trajectory.	This interpretation belongs to the publication workflow and does not depend on the fgsea reference version.	The formal Figure 2 run independently reproduced within-window BH values to a maximum absolute difference of 3.80e-15 across a complete 62 by 43 grid.	keep	Within each window, Benjamini-Hochberg adjustment was applied across pathways. The resulting adjusted values are descriptive window-level summaries and do not control error across the sequence of windows.
M05	PyFgsea_Bioinformatics_revised.tex:59	main contribution	The multi-threaded architecture substantially reduces runtime and memory footprint, and the stateful runner minimizes redundant work.	Historical benchmarks support this statement only for the published software and benchmark setup.	No matched 0.2.0 runtime, memory, or thread-scaling rerun is available from the formal figure work.	qualify	PyFgsea provides a Rust-backed Python interface and a stateful rolling-window runner. Performance and scaling for 0.2.0 should be described only after a matched benchmark rerun.
M06	PyFgsea_Bioinformatics_revised.tex:63	algorithm identity	PyFgsea uses the same ES definition, null-pathway construction, and multilevel tail factorization as fgseaMultilevel.	High output concordance on the publication input supports agreement of outputs but does not by itself prove identity of all algorithmic steps.	The current implementation is an independent Rust estimator targeting the declared fgsea 1.38.0 behavior; current concordance likewise does not establish algorithmic identity.	qualify	PyFgsea uses the weighted preranked ES definition and an independent Rust multilevel estimator designed to match the declared R fgsea reference under matched inputs. Implementation details differ and are stated explicitly.
M07	PyFgsea_Bioinformatics_revised.tex:87	thread determinism	Pathway-local random streams guarantee deterministic reproducibility across thread counts.	This is an implementation/test claim rather than a result of the legacy Figure 1 comparison.	The formal Figure 1 tables do not test thread-count invariance; any retained statement should cite the focused thread-invariance tests, not the figure comparison.	qualify	With a fixed seed, the implementation derives pathway-local random streams; reproducibility across tested thread counts is covered by the software test suite and should not be presented as a conclusion from Figure 1.
M08	PyFgsea_Bioinformatics_revised.tex:96	Figure 2 expression scale	Genes in each Figure 2 window were ranked from log1p-normalized expression.	The original Figure 2 provenance did not preserve a separate matrix that could verify this wording.	The frozen 3576-cell object has scaled and clipped adata.X values with range -10 to 10, no raw matrix, and no named log1p layer; the formal rerun used this scaled matrix.	update	For the GSE155254 illustration, genes were ranked by the difference between mean scaled adata.X values inside and outside each window. The frozen object did not retain a separate raw or log1p-expression matrix.
M09	PyFgsea_Bioinformatics_revised.tex:102	dataset scope	Figure 2 uses a processed HSC-like-to-erythroid trajectory from GSE155254.	The earlier description did not document the exact 3576-cell subset or its assignment mixture.	The formal input contains a 3576-cell erythroid subset from two samples with precomputed UMAP and DPT coordinates.	update	Figure 2 is a descriptive analysis of a 3576-cell erythroid subset from GSE155254. It should not be described as a newly inferred HSC-to-erythroid trajectory.
M10	PyFgsea_Bioinformatics_revised.tex:106	reference versions	The benchmark used Python 3.10.19, R 4.4.3, and fgsea 1.32.2.	This remains the correct publication lane: PyFgsea 0.1.4 versus R 4.4.3 and fgsea 1.32.2.	The current lane is separate: PyFgsea 0.2.0rc8 versus R 4.6.0, Bioconductor 3.23, and fgsea 1.38.0.	update	State both lanes explicitly: the published benchmark used PyFgsea 0.1.4 with fgsea 1.32.2; the completed current comparison used PyFgsea 0.2.0rc8 with fgsea 1.38.0. Relabel the latter as 0.2.0 only after the final release is shown to contain the same numerical implementation.
M11	PyFgsea_Bioinformatics_revised.tex:114-115	large benchmark	PyFgsea consistently reduced runtime and memory; on 20k genes and 5k gene sets it took 1.35 seconds and 68.0 MB versus 18.00 seconds and 611.4 MB for BlitzGSEA and 189.42 seconds and 5891.1 MB for GSEApy.	These values are historical and were not regenerated as part of the legacy Figure 1 reproduction.	No matched 0.2.0 GSEApy or BlitzGSEA run supports carrying these numbers into the corrected current-version text.	remove	Do not restate the large-benchmark runtime or memory values for 0.2.0. Label them as historical publication results only if the journal requires preservation of the original record.
M12	PyFgsea_Bioinformatics_revised.tex:120	legacy NES metrics	NES agreement was Pearson 1.000, Spearman 1.000, RMSE 0.0135, and median absolute difference 0.0070.	Formal legacy publication-main values are Pearson 0.999967, Spearman 0.999676, RMSE 0.01333, and median absolute difference 0.007018, reproducing the reported rounded values.	Current publication-main values differ slightly: Pearson 0.999952, Spearman 0.999652, RMSE 0.01567, and median absolute difference 0.005441.	keep	For the published 0.1.4 versus fgsea 1.32.2 lane, NES agreement was Pearson r=0.99997, Spearman rho=0.99968, RMSE=0.01333, and median absolute difference=0.00702.
M13	PyFgsea_Bioinformatics_revised.tex:120	current NES metrics	The manuscript gives one version-free set of NES agreement values.	The original rounded values belong to the 0.1.4 and fgsea 1.32.2 comparison.	For 0.2.0rc8 versus 1.38.0, publication-main NES agreement was Pearson 0.999952, Spearman 0.999652, RMSE 0.01567, median absolute difference 0.005441, and maximum absolute difference 0.07809.	update	For the separate 0.2.0rc8 versus fgsea 1.38.0 lane, NES agreement on the matched publication input was Pearson r=0.99995, Spearman rho=0.99965, RMSE=0.01567, and median absolute difference=0.00544.
M14	PyFgsea_Bioinformatics_revised.tex:120,123	transformed nominal p values	Transformed nominal p values were statistically faithful, with Pearson 0.997, Spearman 0.988, RMSE 0.1696, and median absolute difference 0.0467.	Formal legacy values are Pearson 0.997199, Spearman 0.988318, RMSE 0.169605, and median absolute difference 0.046721, reproducing the publication values.	Current publication-main values are Pearson 0.999069, Spearman 0.996628, RMSE 0.118257, median absolute difference 0.019162, and maximum absolute difference 0.432186.	qualify	Report these metrics by lane. Describe them as agreement on the matched benchmark rather than using correlation alone as evidence of statistical equivalence or biological validity.
M15	PyFgsea_Bioinformatics_revised.tex:120	worst trajectory window	The worst sparse trajectory window had transformed-p Pearson r=0.941.	The formal legacy rerun did not reproduce the old trajectory-window panel.	The formal current rerun covers publication-main and a predeclared tie-heavy case, not the old worst-window search.	remove	Remove the r=0.941 worst-window value unless the original window-selection rule and full trajectory regime are rerun without selecting a new worst case after inspection.
M16	PyFgsea_Bioinformatics_revised.tex:120	pathway-set overlap	Across validation regimes, top-10 absolute-NES overlap was 0.90 to 1.00 and BH-FDR pathway-set overlap was 0.86 to 1.00.	In the two formal legacy scenarios, top-10 Jaccard was 1.00; FDR-set Jaccard was 0.9565 on the publication input and 0.9444 in the tie-heavy case.	In the two formal current scenarios, top-10 Jaccard was 1.00; FDR-set Jaccard was 0.9565 on the publication input and 0.9444 in the tie-heavy case.	qualify	For the two formally rerun scenarios, top-10 absolute-NES sets were identical and FDR-set Jaccard values were 0.9565 and 0.9444. Do not generalize these two cases to the earlier six-regime range.
M17	PyFgsea_Bioinformatics_revised.tex:121	extreme-tail floor	A lower default eps allows higher resolution in extreme tails.	The statement describes a reporting floor, not independently verified tail accuracy.	The current Figure 1 run does not establish that a lower floor yields more accurate extreme-tail probabilities.	qualify	PyFgsea and R fgsea may use different p-value floors; matched comparisons set the floor explicitly. A lower floor permits smaller reported values but is not, by itself, evidence of greater accuracy.
M18	PyFgsea_Bioinformatics_revised.tex:122-123	deep-tail consistency	When eps is matched, deep-tail differences are generally modest, and PyFgsea offers extended precision.	The dedicated legacy deep-tail supplement was not formally rerun in the Figure 1 artifact.	The current deep-tail and null-calibration supplement is separate from the completed Figure 1 comparison and should be cited only when finalized.	remove	Omit the extended-precision and generally-modest deep-tail claims until the dedicated tail-calibration results are complete; report the tested cases and their uncertainty directly.
M19	PyFgsea_Bioinformatics_revised.tex:128	Figure 1 caption	Figure 1 compares PyFgsea with GSEApy, BlitzGSEA, and R fgseaMultilevel.	The formal reproduction supplies the 0.1.4 versus fgsea 1.32.2 lane but does not rerun GSEApy or BlitzGSEA.	The current formal artifact supplies the 0.2.0rc8 versus fgsea 1.38.0 lane and likewise does not rerun GSEApy or BlitzGSEA.	update	Agreement with R fgsea on matched synthetic inputs. The publication lane compares PyFgsea 0.1.4 with fgsea 1.32.2; the current candidate lane compares PyFgsea 0.2.0rc8 with fgsea 1.38.0. Panels report ES, NES, and nominal-p agreement derived from pathway-level results.
M20	PyFgsea_Bioinformatics_revised.tex:134	Figure 2 throughput	The GSE155254 case shows feasible runtimes over hundreds to thousands of windows.	The old throughput statement is not part of the legacy concordance reproduction.	The formal Figure 2 run contains 62 windows by 43 pathways; it does not test hundreds to thousands of windows or a matched runtime comparison.	remove	Retain the Figure 2 trajectory profile as a 62-window descriptive example and remove the throughput inference.
M21	PyFgsea_Bioinformatics_revised.tex:134,143	trajectory direction	Figure 2 is described as an HSC-like-to-erythroid trajectory.	The old wording overinterprets a processed subset and does not establish a biological start state or direction from independent evidence.	The formal assembly uses precomputed DPT ranging from 0 to 1; it does not re-infer or independently orient the trajectory.	update	Cells are displayed in the order of the precomputed DPT coordinate for the GSE155254 erythroid subset. This ordering is descriptive and is not evidence of lineage direction or causal progression.
M22	PyFgsea_Bioinformatics_revised.tex:143	Figure 2 panels A and D provenance	Cells were ordered by DPT and analyzed using a default full-window workflow.	The original wording omits that coordinates and pseudotime were already present in the processed object.	Panels A and B use precomputed X_umap coordinates; the analysis uses precomputed obs dpt_pseudotime and the accepted contract window_size 500, step 50, nperm_nes 2000, score_type std, exact pathway sizes, bin_width 0, and NES cache off.	update	Panels A and B use precomputed UMAP coordinates, and windows follow the precomputed DPT coordinate. Panel D used 500-cell windows at 50-cell steps, 2000 NES permutations, standard scoring, exact pathway sizes, no binning, and no cross-window NES cache.
M23	PyFgsea_Bioinformatics_revised.tex:143	Figure 2 panel B	Panel B shows marker-defined cell states.	The original wording can be read as a formal cell-type annotation.	The formal assembly assigns the largest population z score among CD34, MKI67, and HBB and labels the result as a marker-dominant heuristic.	update	Panel B shows a three-marker descriptive grouping based on the largest population z score among CD34, MKI67, and HBB; these groups are not cell-type annotations.
M24	PyFgsea_Bioinformatics_revised.tex:143	Figure 2 panel C	Panel C shows smoothed HBB and MKI67 expression.	The original wording does not specify the expression scale or smoothing rule.	The formal assembly uses scaled adata.X values and a 151-cell centered rolling mean with at least 15 cells, followed by edge filling.	update	Panel C shows scaled HBB and MKI67 values smoothed along the displayed order with a 151-cell centered rolling mean; the curves are descriptive summaries.
